gia_ban,loai_hinh,dien_tich_dat,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,dac_diem,chieu_ngang,duong_lon,vi_tri_dat,garage,san_vuon,hai_mat_tien,view,vi_tri_trung_tam,truong_hoc,san_bay,benh_vien,sieu_thi,giao_thong,giai_tri,dia_diem_dac_biet,phuong,gia_m2_tham_khao
7600000000.0,"Nhà ngõ, hẻm",42.2,Đã có sổ,3.0,2.0,2.0,Không rõ,Thông thường,2.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Phường Bình Thạnh,171740000.0
10800000000.0,"Nhà ngõ, hẻm",60.0,Đã có sổ,5.0,5.0,2.0,Nội thất đầy đủ,Hẻm xe hơi,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Phường Gia Định,119520000.0
3980000000.0,"Nhà ngõ, hẻm",20.0,Đã có sổ,3.0,3.0,2.0,Không rõ,Thông thường,4.2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Phường Bình Thạnh,171740000.0
3900000000.0,"Nhà ngõ, hẻm",22.0,Đã có sổ,2.0,3.0,2.0,Không rõ,Thông thường,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Phường Thạnh Mỹ Tây,131169999.99999999
3980000000.0,"Nhà ngõ, hẻm",20.0,Chưa xác định,2.0,3.0,3.0,Không rõ,Thông thường,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Gia Định,170000000.0
3980000000.0,"Nhà ngõ, hẻm",19.0,Đã có sổ,2.0,3.0,3.0,Nội thất đầy đủ,Thông thường,4.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,Phường Gia Định,170000000.0
10290000000.0,"Nhà ngõ, hẻm",55.0,Chưa xác định,5.0,3.0,4.0,Nội thất cao cấp,Thông thường,4.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Phường Bình Lợi Trung,132729999.99999999
4000000000.0,"Nhà ngõ, hẻm",30.0,Đã có sổ,3.0,4.0,4.0,Nội thất đầy đủ,Hẻm xe hơi,4.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,Phường Bình Lợi Trung,132729999.99999999
15000000000.0,"Nhà ngõ, hẻm",64.0,Đã có sổ,5.0,4.0,5.0,Bàn giao thô,Hẻm xe hơi,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Phường Thạnh Mỹ Tây,162290000.0
3550000000.0,"Nhà ngõ, hẻm",20.0,Đã có sổ,2.0,3.0,3.0,Không rõ,Thông thường,4.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Phường Bình Lợi Trung,140000000.0
5450000000.0,"Nhà ngõ, hẻm",40.0,Đã có sổ,2.0,3.0,3.0,Không rõ,Hẻm xe hơi,3.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,Phường Gia Định,107780000.0
7900000000.0,"Nhà ngõ, hẻm",52.0,Đã có sổ,2.0,2.0,3.0,Không rõ,Hẻm xe hơi,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Bình Lợi Trung,158100000.0
6950000000.0,"Nhà ngõ, hẻm",33.0,Chưa xác định,3.0,3.0,3.0,Không rõ,Hẻm xe hơi,4.6,0,1,0,0,0,0,1,0,1,0,1,0,0,0,Phường Gia Định,170000000.0
8449999999.999999,"Nhà ngõ, hẻm",55.0,Đã có sổ,4.0,5.0,3.0,Nội thất cao cấp,Hẻm xe hơi,5.7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Phường Gia Định,180950000.0
3980000000.0,"Nhà ngõ, hẻm",20.0,Đã có sổ,2.0,3.0,3.0,Nội thất đầy đủ,Thông thường,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Phường Gia Định,144550000.0
